ID,output
15795,0
860,4
5390,2
11964,5
11284,7
6265,1
16850,1
4426,4
14423,1
11363,3
16023,6
8322,1
1685,8
769,4
2433,3
5311,2
5051,4
6420,2
17568,3
19769,1
6396,4
8666,7
18942,2
18431,9
2747,5
189,4
19118,2
3005,3
1899,3
1267,2
17912,3
11394,6
3556,9
3890,6
8838,6
14502,7
10627,1
8792,7
10555,1
10253,2
8433,5
10233,9
11016,0
2612,2
15787,0
17159,3
12206,2
8226,0
14541,7
3152,4
1585,7
3943,0
19457,7
1021,1
11653,1
10805,0
13417,2
7989,0
9692,1
12990,7
6873,5
5675,8
161,7
4297,6
995,9
11534,4
7629,8
1016,8
8529,8
17262,8
9268,7
12185,1
6331,3
8571,2
7208,2
5276,3
18446,1
16448,1
16216,7
8006,2
2568,3
2027,4
2695,5
15422,3
5258,4
6736,7
391,7
13986,0
12666,3
5892,5
3561,2
6184,7
19483,4
8392,0
13067,3
15265,0
19488,9
2454,5
11837,0
14039,8
19115,5
10965,4
9762,8
5056,2
14948,8
8110,8
13773,9
17412,5
502,8
6910,2
12685,1
206,0
17868,6
15934,3
17247,7
19174,8
8755,0
12383,6
18141,6
14820,7
7574,2
6374,6
1678,0
19626,4
1059,5
16198,6
9914,3
19541,0
10817,2
10921,5
9789,5
16312,1
11252,0
2693,8
13931,0
3627,1
16157,7
10173,1
18047,3
10230,7
15707,2
11494,3
1306,3
6776,0
9474,9
7526,9
5530,3
3748,6
13545,0
663,3
1998,1
7994,5
17879,7
3304,6
18237,8
13808,2
6585,3
17675,7
19965,9
11649,8
1636,3
17082,9
4737,0
14555,6
13877,2
854,0
5855,2
7392,7
13949,9
18091,0
5791,2
4931,4
19894,2
202,3
11447,3
12688,2
4389,8
2327,8
8004,5
19315,6
7777,1
197,2
1930,7
11774,2
15087,5
9339,8
11589,3
18895,6
15708,3
17043,5
2811,6
14243,9
6546,1
1986,6
8338,3
11411,0
2911,3
1734,6
18227,1
8680,6
19360,6
18343,5
5759,8
2385,9
11111,1
4736,0
1802,6
8155,4
8120,7
6616,6
14257,6
14486,2
16646,7
14075,0
9208,8
16371,3
11835,4
13168,7
2049,6
5423,4
14589,8
19492,2
7158,0
10248,1
7400,3
19554,0
9874,8
15151,6
18639,2
1154,6
4499,7
6295,7
12183,4
12874,1
18032,1
5539,1
9637,3
15586,1
2557,9
5592,9
16482,9
2200,7
14172,1
2961,7
14207,5
11969,9
2869,9
17340,0
13992,5
5699,3
3987,7
13446,9
1218,6
4735,2
11296,6
4555,4
9146,0
8050,0
12757,9
19830,6
17429,6
6893,6
18077,7
14373,2
14565,6
3436,5
8754,8
10677,2
5895,4
19738,8
16609,8
15636,6
7022,2
9151,5
5600,3
7996,2
9007,7
12946,2
4642,8
11312,5
7679,7
8208,9
18589,7
10716,1
17453,3
3444,7
10757,4
14434,9
1060,4
18711,6
3420,8
301,7
12468,0
16990,2
19554,4
699,0
190,0
10492,1
17364,7
2975,2
6102,0
17568,5
19711,0
19778,9
1816,1
569,4
5442,1
1895,3
19117,0
3863,1
12913,3
7455,9
4014,7
11093,9
18070,2
3009,5
16538,3
10729,2
1409,2
12249,0
784,3
8096,6
7560,2
12533,4
7343,5
7206,3
5801,5
19190,0
16921,4
5986,1
18225,9
10647,0
8716,0
19334,8
12323,7
4780,9
2368,7
12039,4
6655,2
8173,9
4495,6
10893,2
13403,6
13121,0
10966,2
853,6
16958,9
17532,3
9907,0
4777,0
15338,8
2491,7
15328,4
14599,4
19508,6
3051,4
15979,3
16388,4
876,9
4142,0
15202,9
6966,6
7079,9
7987,2
6799,5
4465,9
17019,3
13417,5
18077,2
8311,1
17214,6
14098,8
5177,2
14262,8
8308,6
5949,0
19222,9
1150,6
1931,7
9204,7
18048,1
1081,7
16896,2
13407,5
7805,1
5237,5
16943,0
12775,3
16244,6
13184,0
3343,6
13500,1
9662,8
16964,3
15125,4
8130,4
19531,4
1679,8
3506,6
13284,6
7253,3
19128,3
9435,7
11310,0
13296,3
18525,2
13245,1
11151,4
10457,6
2479,8
4452,3
5881,7
14069,6
2849,9
7390,5
11922,5
2489,1
9823,7
9207,9
9540,9
16364,4
4611,4
19223,7
5878,7
16347,7
851,1
18071,4
6833,3
11938,7
2427,0
4000,2
5052,8
2738,2
5387,6
8002,4
5536,0
13479,1
3913,2
17450,6
10636,8
5726,5
3373,8
12161,6
2082,7
16281,5
15305,6
9817,5
11261,2
417,4
8808,8
3267,7
17209,0
5745,1
11338,9
412,0
7543,4
7587,1
728,9
11657,0
5988,2
18888,0
2967,9
14527,1
19170,9
16048,6
17506,6
17955,7
5073,6
5104,6
2143,8
7357,0
12043,1
3440,2
5644,8
10518,5
14552,4
2914,9
13584,6
12144,9
14397,7
8787,7
14191,8
728,7
17749,5
698,4
7186,2
14512,4
13923,9
16779,2
7400,3
4171,1
4360,8
2502,7
17101,5
19166,9
5486,2
8335,5
4491,6
11130,8
7651,8
1167,4
1062,7
18540,7
11174,0
4729,9
9348,5
5334,6
8924,2
4330,7
6801,7
4846,8
6731,0
15368,8
17337,2
2539,7
7056,3
11516,7
11493,4
1542,0
13964,8
17575,2
6313,2
19065,2
17924,7
13807,7
9580,2
17749,7
8691,0
7494,0
4312,0
1324,0
3141,7
19870,9
1810,3
6588,3
